================================================================================
CRAWLER V2
================================================================================
Fuente: Fundación para el Desarrollo Tecnológico Agropecuario de los Valles
URL configurada: https://www.icco.org
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.icco.org
  Utilizada: https://www.icco.org/
  Fallback: sí
  Intentos: 1
    - usable         | HTTP=200 | https://www.icco.org/

URL de trabajo: https://www.icco.org/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[FULL_26_FDTA_VALLES] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.icco.org/
[FULL_26_FDTA_VALLES] t= 223.6s | pag= 86 | files= 397 | data=  9 | cola= 109 | prio=50 | https://www.icco.org/international-cocoa-research-symposium-draws-500-attendees-to-lima-peru/
[FULL_26_FDTA_VALLES] t= 226.3s | pag= 87 | files= 397 | data=  9 | cola= 145 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3088-mireille-ndoungue.html
[FULL_26_FDTA_VALLES] t= 228.2s | pag= 87 | files= 397 | data=  9 | cola= 144 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3091-henry-kwame-dzahini-obiatey.html
[FULL_26_FDTA_VALLES] t= 231.2s | pag= 87 | files= 397 | data=  9 | cola= 143 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3092-wilbert-phillips-mora.html
[FULL_26_FDTA_VALLES] t= 233.9s | pag= 87 | files= 397 | data=  9 | cola= 142 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3093-rolando-ri-os-ruiz.html
[FULL_26_FDTA_VALLES] t= 236.9s | pag= 87 | files= 397 | data=  9 | cola= 141 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3094-yeirme-jaimes-suarez.html
[FULL_26_FDTA_VALLES] t= 240.5s | pag= 87 | files= 397 | data=  9 | cola= 140 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3095-mariela-leandro-munoz.html
[FULL_26_FDTA_VALLES] t= 243.7s | pag= 87 | files= 397 | data=  9 | cola= 139 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3096-oscar-cabezas-huayllas.html
[FULL_26_FDTA_VALLES] t= 246.8s | pag= 87 | files= 397 | data=  9 | cola= 138 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3097-pierre-w-n-guessan.html
[FULL_26_FDTA_VALLES] t= 250.1s | pag= 87 | files= 397 | data=  9 | cola= 137 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3098-richard-adu-acheampong.html
[FULL_26_FDTA_VALLES] t= 253.2s | pag= 87 | files= 397 | data=  9 | cola= 136 | prio=10 | https://icco.org/about-us/international-cocoa-agreements/doc_download/3099-darin-sukha.html
