================================================================================
CRAWLER V2
================================================================================
Fuente: Banco Central de Bolivia
URL configurada: https://www.bcb.gob.bo/
Timeout HTTP: 15 s
Pausa HTTP:   aleatoria 0.30s - 0.90s


Resolución de fuente:
  Original: https://www.bcb.gob.bo/
  Utilizada: https://www.bcb.gob.bo/
  Fallback: no
  Intentos: 1
    - usable         | HTTP=200 | https://www.bcb.gob.bo/

URL de trabajo: https://www.bcb.gob.bo/
Seeds: 1
Máx páginas: 10000
Máx archivos: 100000
Máx profundidad: 20

[BCB] t=   0.0s | pag=  0 | files=   0 | data=  0 | cola=   0 | prio= 0 | https://www.bcb.gob.bo/
[BCB] t= 499.4s | pag= 88 | files=1540 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=moneda-mercado-semanal
[BCB] t= 500.9s | pag= 89 | files=1550 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=moneda-mercado-semanal
[BCB] t= 502.7s | pag= 90 | files=1560 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=moneda-mercado-semanal
[BCB] t= 504.5s | pag= 91 | files=1570 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=moneda-mercado-semanal
[BCB] t= 505.9s | pag= 92 | files=1580 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=109&q=moneda-mercado-semanal
[BCB] t= 507.2s | pag= 93 | files=1585 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=102&q=moneda-mercado-semanal
[BCB] t= 508.9s | pag= 94 | files=1595 | data=  6 | cola= 209 | prio= 2 | https://www.bcb.gob.bo/?page=103&q=moneda-mercado-semanal
[BCB] t= 511.2s | pag= 95 | files=1605 | data=  6 | cola= 208 | prio= 2 | https://www.bcb.gob.bo/?page=104&q=moneda-mercado-semanal
[BCB] t= 512.5s | pag= 96 | files=1612 | data=  6 | cola= 207 | prio= 2 | https://www.bcb.gob.bo/?page=105&q=moneda-mercado-semanal
[BCB] t= 514.3s | pag= 97 | files=1621 | data=  6 | cola= 206 | prio= 2 | https://www.bcb.gob.bo/?page=106&q=moneda-mercado-semanal
[BCB] t= 516.9s | pag= 98 | files=1631 | data=  6 | cola= 205 | prio= 2 | https://www.bcb.gob.bo/?page=107&q=moneda-mercado-semanal
[BCB] t= 518.4s | pag= 99 | files=1641 | data=  6 | cola= 204 | prio= 2 | https://www.bcb.gob.bo/?page=108&q=moneda-mercado-semanal
[BCB] t= 520.2s | pag=100 | files=1651 | data=  6 | cola= 203 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=boletines-mensuales
[BCB] t= 521.7s | pag=101 | files=1663 | data=  6 | cola= 202 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=boletines-mensuales
[BCB] t= 523.4s | pag=102 | files=1675 | data=  6 | cola= 201 | prio= 2 | https://www.bcb.gob.bo/?page=11&q=boletines-mensuales
[BCB] t= 525.2s | pag=103 | files=1687 | data=  6 | cola= 200 | prio= 2 | https://www.bcb.gob.bo/?page=12&q=boletines-mensuales
[BCB] t= 526.8s | pag=104 | files=1699 | data=  6 | cola= 199 | prio= 2 | https://www.bcb.gob.bo/?page=17&q=boletines-mensuales
[BCB] t= 528.4s | pag=105 | files=1711 | data=  6 | cola= 198 | prio= 2 | https://www.bcb.gob.bo/?page=13&q=boletines-mensuales
[BCB] t= 529.6s | pag=106 | files=1723 | data=  6 | cola= 197 | prio= 2 | https://www.bcb.gob.bo/?page=14&q=boletines-mensuales
[BCB] t= 531.0s | pag=107 | files=1735 | data=  6 | cola= 196 | prio= 2 | https://www.bcb.gob.bo/?page=15&q=boletines-mensuales
[BCB] t= 532.4s | pag=108 | files=1747 | data=  6 | cola= 195 | prio= 2 | https://www.bcb.gob.bo/?page=16&q=boletines-mensuales
[BCB] t= 534.2s | pag=109 | files=1759 | data=  6 | cola= 194 | prio= 2 | https://www.bcb.gob.bo/?page=9&q=reporte-estadistico
[BCB] t= 535.9s | pag=110 | files=1780 | data=  6 | cola= 193 | prio= 2 | https://www.bcb.gob.bo/?page=10&q=reporte-estadistico
